Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):
15,31,70,175,1,514,354
21,31,70,175,1,518,338
23,31,70,175,1,265,386
31,31,70,175,1,294,400
33,31,70,175,1,178,371
49,31,70,175,1,506,392
51,22,78,170,1,514,518
121,22,78,170,1,696,441
128,22,48,153,0,508,399
133,22,48,153,0,546,458
139,22,48,153,0,512,464
228,22,78,170,1,758,366
380,22,78,170,1,166,391
461,22,78,170,1,116,340
463,22,78,170,1,727,382
471,22,78,170,1,182,420
480,22,78,170,1,776,393
523,22,78,170,1,105,359
